time_sec,time_min,run_id,phase,event_marker,event_zone,scenario_demand,team_state,team_state_label,fist_leader_state,fso_state,jtac_state,foa_state,fom_state,fist_leader_heart_rate,fist_leader_respiration_rate,fist_leader_eeg_alpha_power,fist_leader_gaze_task_focus,fist_leader_communication_activity,fso_heart_rate,fso_respiration_rate,fso_eeg_alpha_power,fso_gaze_task_focus,fso_communication_activity,jtac_heart_rate,jtac_respiration_rate,jtac_eeg_alpha_power,jtac_gaze_task_focus,jtac_communication_activity,foa_heart_rate,foa_respiration_rate,foa_eeg_alpha_power,foa_gaze_task_focus,foa_communication_activity,fom_heart_rate,fom_respiration_rate,fom_eeg_alpha_power,fom_gaze_task_focus,fom_communication_activity
12,0.2,synthetic_run_001,orientation,,False,0.15,0,monitoring,0,3,3,0,0,81.5461,15.7836,0.5031,0.8152,0.1229,77.4508,15.8458,0.4879,0.5421,0.1984,85.3865,16.3426,0.4275,0.7306,0.2284,76.7459,13.6885,0.5824,0.5921,0.1777,77.2673,16.2308,0.6377,0.5962,0.12
13,0.2167,synthetic_run_001,orientation,,False,0.15,0,monitoring,0,1,0,0,0,83.4431,16.3211,0.4458,0.6166,0.0884,78.855,16.9198,0.5462,0.5943,0.1694,87.9077,17.2653,0.4231,0.8058,0.1549,77.9908,16.0166,0.5482,0.6468,0.1192,77.4467,13.9888,0.5883,0.6571,0.1303
14,0.2333,synthetic_run_001,orientation,,False,0.15,0,monitoring,2,1,0,0,0,85.5582,14.6049,0.4483,0.5886,0.1332,77.9171,14.168,0.4037,0.6194,0.273,88.5232,15.5212,0.4246,0.748,0.2077,78.9703,14.3193,0.5764,0.7097,0.0735,76.079,15.7931,0.5495,0.6793,0.1186
15,0.25,synthetic_run_001,orientation,,False,0.15,0,monitoring,2,0,0,0,0,81.4295,15.7111,0.4758,0.6141,0.2399,74.2326,14.7407,0.456,0.6024,0.1644,87.1498,16.9327,0.3997,0.7844,0.2451,78.1521,16.4981,0.542,0.5936,0.0843,74.5446,14.6135,0.5767,0.5951,0.0737
16,0.2667,synthetic_run_001,orientation,,False,0.15,0,monitoring,2,0,0,0,0,82.0636,16.5087,0.4666,0.6211,0.2046,79.9177,14.2061,0.5618,0.7269,0.1394,84.956,16.535,0.3975,0.7849,0.3119,78.018,16.1589,0.5022,0.6269,0.2131,72.8661,13.6451,0.5502,0.5608,0.1526
17,0.2833,synthetic_run_001,orientation,,False,0.15,0,monitoring,0,1,0,0,0,82.2294,17.0896,0.453,0.6738,0.2191,75.7917,15.8004,0.4713,0.6661,0.0808,84.6782,17.3411,0.4435,0.7052,0.2846,78.0916,14.3743,0.5615,0.58,0.1014,71.1919,15.9587,0.6542,0.5677,0.0152
18,0.3,synthetic_run_001,orientation,,False,0.15,0,monitoring,0,0,0,0,0,81.0505,16.5336,0.4934,0.6223,0.227,78.7579,15.2564,0.5365,0.5482,0.1602,87.1168,18.1043,0.3964,0.7772,0.228,80.1675,14.611,0.4858,0.6109,0.0769,72.7476,13.3775,0.5819,0.5606,0.0
19,0.3167,synthetic_run_001,orientation,,False,0.15,0,monitoring,0,0,0,0,0,80.603,16.7386,0.4872,0.855,0.213,81.2969,15.8701,0.5588,0.6207,0.1302,90.7964,16.4029,0.4201,0.7608,0.1997,72.5461,14.2086,0.5176,0.4728,0.0738,78.9485,14.474,0.5289,0.5886,0.1645
20,0.3333,synthetic_run_001,orientation,,False,0.15,0,monitoring,0,0,0,0,0,83.0126,16.588,0.4745,0.7541,0.1402,76.825,14.1192,0.539,0.6309,0.1009,82.4824,15.5727,0.4027,0.8297,0.2261,75.037,15.2283,0.547,0.6449,0.1126,78.2111,15.3156,0.5083,0.4572,0.1621
21,0.35,synthetic_run_001,orientation,,False,0.15,0,monitoring,0,0,0,2,0,83.7179,16.8147,0.5379,0.743,0.1734,78.8416,14.5579,0.5867,0.7591,0.2088,88.9072,17.124,0.4787,0.7801,0.249,78.2497,13.4431,0.5329,0.5746,0.074,79.4903,14.8742,0.6123,0.5927,0.1221
22,0.3667,synthetic_run_001,orientation,,False,0.15,0,monitoring,0,2,0,0,0,80.6342,16.029,0.4722,0.8199,0.2367,79.5973,15.2077,0.4621,0.6389,0.1307,88.3608,15.3406,0.4307,0.8017,0.265,75.6409,14.003,0.5571,0.6348,0.1864,73.7627,14.4147,0.5726,0.5799,0.0831
23,0.3833,synthetic_run_001,orientation,,False,0.15,0,monitoring,2,1,0,0,0,84.1852,15.7484,0.4685,0.7244,0.151,76.9434,13.6767,0.4423,0.6537,0.1535,81.6198,17.0867,0.4897,0.6743,0.193,76.7822,16.012,0.6093,0.5918,0.2173,76.2947,14.7748,0.5778,0.7827,0.1546
24,0.4,synthetic_run_001,orientation,,False,0.15,0,monitoring,0,0,0,4,0,82.4225,16.7969,0.4761,0.7287,0.1927,75.2387,15.9033,0.4806,0.5655,0.1491,89.3283,15.6963,0.4208,0.7069,0.2097,75.2826,15.4494,0.5172,0.4945,0.0401,76.2725,14.6476,0.5729,0.6489,0.0564
25,0.4167,synthetic_run_001,orientation,,False,0.15,0,monitoring,2,1,0,0,0,86.2389,15.7249,0.3724,0.6058,0.1663,79.5849,15.1206,0.5442,0.6114,0.1089,88.3573,16.852,0.4298,0.8373,0.1809,77.0041,13.8484,0.5474,0.5474,0.0844,75.1312,15.4599,0.6055,0.6782,0.1385
26,0.4333,synthetic_run_001,orientation,,False,0.15,0,monitoring,2,0,3,0,0,81.5926,16.1654,0.44,0.698,0.3021,78.989,15.4306,0.5152,0.6789,0.2103,89.037,15.9453,0.4094,0.7984,0.2553,78.5797,15.8302,0.5551,0.5907,0.1388,68.4735,13.2912,0.5808,0.6207,0.0539
27,0.45,synthetic_run_001,orientation,,False,0.15,0,monitoring,0,0,2,0,0,88.4344,16.0685,0.4893,0.809,0.1986,79.4217,14.2782,0.506,0.6075,0.1982,87.2664,16.9485,0.4416,0.678,0.1759,74.3829,15.2251,0.5612,0.5202,0.1335,77.8904,13.5466,0.5766,0.5738,0.0879
28,0.4667,synthetic_run_001,orientation,,False,0.15,0,monitoring,0,0,0,0,1,86.3926,15.9822,0.4873,0.758,0.1981,79.3696,14.7866,0.5005,0.69,0.1521,88.9742,16.4701,0.4615,0.7647,0.1503,73.8588,14.034,0.5093,0.6151,0.1083,77.2477,14.9228,0.5718,0.629,0.0066
29,0.4833,synthetic_run_001,orientation,,False,0.15,0,monitoring,0,1,0,0,0,83.4898,16.9064,0.5166,0.7242,0.167,78.3386,15.3689,0.542,0.6185,0.1923,89.6426,17.3289,0.4386,0.6963,0.169,75.3976,15.22,0.5015,0.5998,0.1275,79.7384,14.7899,0.5794,0.5991,0.1342
30,0.5,synthetic_run_001,orientation,,False,0.15,0,monitoring,0,1,0,0,0,85.9909,15.5545,0.4729,0.6477,0.2148,79.0669,14.4783,0.4995,0.5564,0.1064,93.6803,16.3007,0.4852,0.7566,0.2044,77.7429,14.5433,0.4961,0.5194,0.1547,76.5187,15.3059,0.5713,0.5526,0.1733
31,0.5167,synthetic_run_001,orientation,,False,0.15,0,monitoring,0,0,0,0,0,86.2323,16.9741,0.4965,0.7479,0.218,76.5172,14.7343,0.5606,0.7024,0.2264,86.971,16.8516,0.4378,0.81,0.1939,78.4907,14.8725,0.5188,0.5979,0.1128,76.2834,14.4749,0.4916,0.5383,0.0988
32,0.5333,synthetic_run_001,orientation,,False,0.15,0,monitoring,2,0,3,0,0,86.3346,16.1194,0.4613,0.7027,0.2082,75.0966,14.9355,0.5155,0.6934,0.1757,90.0064,17.0132,0.4462,0.7584,0.1839,77.5029,16.0484,0.4592,0.5269,0.0626,73.1839,13.8819,0.5349,0.7394,0.2021
33,0.55,synthetic_run_001,orientation,,False,0.15,0,monitoring,1,0,3,0,0,80.9718,14.5435,0.4634,0.6521,0.1878,79.827,15.663,0.5296,0.5728,0.1947,87.7166,15.7649,0.4014,0.7639,0.2426,79.7165,14.6647,0.5713,0.728,0.22,79.7668,13.8234,0.5187,0.5628,0.133
34,0.5667,synthetic_run_001,orientation,,False,0.15,0,monitoring,0,0,0,0,0,81.9329,15.3664,0.5549,0.7299,0.2363,77.9302,13.2486,0.4668,0.5434,0.0395,87.4022,17.8025,0.4494,0.789,0.167,76.2314,15.3176,0.5648,0.579,0.0659,71.4734,14.7392,0.5764,0.5444,0.1133
35,0.5833,synthetic_run_001,orientation,,False,0.15,0,monitoring,2,0,0,0,0,86.3094,15.269,0.5189,0.6761,0.2602,75.5231,15.2327,0.4604,0.71,0.2278,85.9041,16.2672,0.4621,0.7397,0.299,77.7143,15.5066,0.5293,0.609,0.1162,77.9305,15.1448,0.6188,0.679,0.0933
36,0.6,synthetic_run_001,orientation,,False,0.15,0,monitoring,2,0,0,0,0,82.1806,17.3661,0.4727,0.6949,0.2677,81.2508,15.4184,0.5238,0.5724,0.1508,87.8734,16.4188,0.4212,0.6142,0.2249,76.0449,13.944,0.5112,0.6152,0.0178,75.9476,12.6854,0.5301,0.666,0.0
37,0.6167,synthetic_run_001,orientation,,False,0.15,4,reorganizing,4,4,3,0,0,85.2701,15.5299,0.4591,0.7419,0.2998,76.2329,16.3223,0.4584,0.6144,0.1669,89.8684,17.1003,0.3569,0.7346,0.2491,79.4284,15.0861,0.5594,0.7236,0.1454,76.0296,14.0317,0.58,0.6183,0.0857
38,0.6333,synthetic_run_001,orientation,,False,0.15,0,monitoring,2,1,0,0,0,81.889,16.8027,0.4562,0.6928,0.2361,81.0881,16.9004,0.5238,0.6294,0.1266,86.6688,17.503,0.3743,0.7937,0.193,80.423,15.8665,0.5786,0.5211,0.1635,76.4465,14.9616,0.5845,0.6026,0.1266
39,0.65,synthetic_run_001,orientation,,False,0.15,0,monitoring,0,2,3,0,0,82.8016,15.9383,0.4137,0.7177,0.2544,80.2401,14.6373,0.4765,0.7366,0.1409,91.8371,17.3481,0.4061,0.7765,0.1415,77.051,14.4767,0.5247,0.6537,0.1348,77.629,14.3349,0.643,0.4979,0.175
40,0.6667,synthetic_run_001,orientation,,False,0.15,0,monitoring,2,0,0,0,0,85.6901,16.8469,0.461,0.695,0.1975,79.8989,14.6408,0.5439,0.7073,0.1847,85.4562,16.0754,0.3778,0.7562,0.2078,74.7559,15.7667,0.5217,0.6336,0.0525,77.1381,16.5306,0.6181,0.5736,0.0823
41,0.6833,synthetic_run_001,orientation,,False,0.15,0,monitoring,0,0,0,0,0,82.6305,17.2437,0.471,0.85,0.1965,81.6185,14.7903,0.4851,0.6796,0.2014,84.5074,15.6283,0.3731,0.7486,0.2683,77.0803,14.7398,0.6184,0.5246,0.1025,77.7393,14.7617,0.5765,0.6387,0.0715
42,0.7,synthetic_run_001,orientation,,False,0.15,0,monitoring,2,1,0,0,0,83.8932,15.577,0.4592,0.6706,0.1544,77.0712,15.6282,0.4672,0.6947,0.0929,90.4153,17.0342,0.4276,0.7719,0.1066,77.7912,14.9243,0.5642,0.6657,0.0221,74.9273,15.7196,0.554,0.4759,0.0486
43,0.7167,synthetic_run_001,orientation,,False,0.15,0,monitoring,0,0,0,0,0,82.5662,16.9331,0.5169,0.7018,0.0853,80.1807,16.1552,0.4742,0.7725,0.104,85.4534,17.9831,0.4259,0.7924,0.2238,76.9794,13.4454,0.5169,0.6451,0.1418,75.2202,14.3776,0.5168,0.5543,0.0756
44,0.7333,synthetic_run_001,orientation,,False,0.15,0,monitoring,0,0,0,1,0,82.6375,16.1819,0.4464,0.6432,0.145,79.8565,15.9538,0.4595,0.6535,0.141,84.3021,15.7601,0.436,0.8037,0.1013,77.1633,15.3102,0.5129,0.6048,0.041,74.333,14.3056,0.5165,0.5074,0.1033
45,0.75,synthetic_run_001,orientation,,False,0.15,0,monitoring,0,1,0,0,0,84.2059,16.2609,0.5302,0.6479,0.1893,82.282,14.2326,0.4966,0.7335,0.1774,86.6556,17.0006,0.4262,0.7394,0.2159,83.9113,13.4484,0.5563,0.5664,0.1509,79.0861,14.8239,0.6046,0.4513,0.1915
46,0.7667,synthetic_run_001,orientation,,False,0.15,0,monitoring,0,0,4,0,0,81.6723,16.1868,0.4744,0.729,0.2462,79.5182,15.207,0.4635,0.6822,0.0313,87.6176,16.6747,0.4459,0.7273,0.1933,78.6799,14.5615,0.5367,0.518,0.1414,76.783,16.5796,0.5265,0.5858,0.2019
47,0.7833,synthetic_run_001,orientation,,False,0.15,0,monitoring,1,0,3,0,0,83.9927,16.0716,0.4774,0.6701,0.1875,80.49,15.1881,0.4585,0.7113,0.1702,84.4385,16.0457,0.3937,0.8157,0.18,78.0455,14.7569,0.5756,0.5799,0.0434,76.8925,13.6708,0.5794,0.5641,0.2307
48,0.8,synthetic_run_001,orientation,,False,0.15,0,monitoring,1,0,0,4,0,82.4145,16.1831,0.3861,0.7262,0.2871,81.7548,15.2388,0.4947,0.5155,0.184,87.7785,16.3031,0.4165,0.7784,0.1451,74.4251,14.3398,0.5823,0.6756,0.1429,76.6612,14.7,0.5618,0.5902,0.1013
49,0.8167,synthetic_run_001,orientation,,False,0.15,0,monitoring,0,0,3,0,0,80.4897,15.9184,0.4463,0.7187,0.1726,76.614,15.907,0.4879,0.6174,0.1677,86.0361,16.3708,0.3895,0.7081,0.267,82.4888,14.0454,0.5475,0.5414,0.0831,74.1858,14.5546,0.5224,0.6425,0.0661
50,0.8333,synthetic_run_001,orientation,,False,0.15,0,monitoring,0,0,0,0,0,82.507,16.1276,0.4297,0.8144,0.248,79.9635,14.4729,0.5662,0.7006,0.1568,89.0131,17.7403,0.4738,0.6465,0.2271,77.4826,15.0891,0.5345,0.5009,0.1057,75.2604,14.3156,0.5636,0.6185,0.0968
51,0.85,synthetic_run_001,orientation,,False,0.15,0,monitoring,0,0,0,0,0,84.5495,16.0695,0.4764,0.7696,0.0944,79.4843,15.5061,0.4988,0.6919,0.1986,82.8631,17.3854,0.4778,0.7807,0.168,80.9294,14.1691,0.5371,0.6568,0.1249,77.7731,14.7404,0.5727,0.5765,0.1859
52,0.8667,synthetic_run_001,orientation,,False,0.15,0,monitoring,2,1,4,0,0,85.4337,14.8721,0.4141,0.5857,0.2096,80.955,14.8568,0.5156,0.634,0.1856,87.129,17.605,0.4188,0.6542,0.2608,79.753,15.1019,0.5505,0.5995,0.1559,78.4183,14.2206,0.5434,0.5203,0.0588
53,0.8833,synthetic_run_001,orientation,,False,0.15,0,monitoring,0,2,3,0,1,86.6357,14.7691,0.5004,0.7973,0.1692,75.0826,15.5834,0.4628,0.66,0.0899,86.017,15.9565,0.337,0.726,0.1829,76.5101,14.0094,0.5256,0.6763,0.1521,73.946,14.6959,0.5627,0.5638,0.1338
54,0.9,synthetic_run_001,orientation,,False,0.15,0,monitoring,2,0,0,0,0,77.0822,17.0222,0.3533,0.671,0.2593,77.0938,16.1915,0.4477,0.7197,0.1492,85.2621,17.463,0.4606,0.6389,0.1918,74.5298,16.1534,0.5438,0.5423,0.0881,76.7086,13.6877,0.4887,0.5692,0.0219
55,0.9167,synthetic_run_001,orientation,,False,0.15,0,monitoring,2,0,3,0,0,87.9021,16.1151,0.4686,0.6014,0.1753,81.4977,14.4078,0.505,0.6168,0.1602,87.2205,16.2785,0.4295,0.7563,0.2076,76.9812,14.6246,0.5487,0.7138,0.055,76.978,15.9301,0.5821,0.6022,0.084
56,0.9333,synthetic_run_001,orientation,,False,0.15,0,monitoring,0,0,0,0,0,82.8623,16.2287,0.4481,0.6636,0.124,80.0097,16.1421,0.5181,0.6755,0.1672,92.3711,16.4084,0.4117,0.768,0.2246,77.2928,13.9813,0.5866,0.6495,0.0588,76.4776,15.9422,0.5706,0.5903,0.079
57,0.95,synthetic_run_001,orientation,,False,0.15,0,monitoring,0,0,4,0,0,81.762,16.1739,0.4726,0.632,0.1184,79.9519,14.9875,0.5608,0.6224,0.185,87.7502,17.3595,0.3888,0.7978,0.1783,78.9521,16.4032,0.5183,0.5293,0.0723,76.725,13.7716,0.5918,0.5185,0.1699
58,0.9667,synthetic_run_001,orientation,,False,0.15,0,monitoring,2,0,0,4,0,84.7828,15.6757,0.3966,0.6718,0.1534,80.1003,15.6738,0.5042,0.6416,0.2002,87.0688,16.4963,0.3858,0.6233,0.1989,76.238,13.8411,0.5138,0.6112,0.0302,77.3515,13.7471,0.5705,0.6533,0.1509
59,0.9833,synthetic_run_001,orientation,,False,0.15,0,monitoring,0,0,1,3,0,84.5292,16.2261,0.497,0.7199,0.2329,81.4158,14.7264,0.4517,0.7446,0.1648,89.1981,16.5463,0.4096,0.8261,0.1596,78.2051,15.2784,0.5399,0.6667,0.1319,76.6379,14.756,0.5725,0.6384,0.1398
60,1.0,synthetic_run_001,orientation,,False,0.15,0,monitoring,0,0,3,0,0,83.4384,16.2245,0.5522,0.6806,0.2131,84.6433,15.0676,0.5263,0.6041,0.1344,88.442,17.8733,0.4092,0.7221,0.3472,75.9726,14.1159,0.5778,0.5901,0.1284,74.6372,13.8095,0.5729,0.6281,0.1286
61,1.0167,synthetic_run_001,orientation,,False,0.15,0,monitoring,0,4,3,0,0,82.3526,15.3148,0.5205,0.75,0.2222,75.7397,14.7793,0.4634,0.597,0.1141,88.4771,16.9074,0.4293,0.7725,0.2422,78.0157,13.38,0.5099,0.5076,0.1229,75.4695,16.2787,0.5842,0.6356,0.0654
62,1.0333,synthetic_run_001,orientation,,False,0.15,0,monitoring,0,0,3,0,0,79.4161,15.9258,0.4755,0.6991,0.1513,79.6998,15.8538,0.5528,0.6343,0.1292,86.7848,17.4983,0.4468,0.8195,0.3009,77.5248,14.7915,0.5223,0.5229,0.1266,74.7531,13.7903,0.5732,0.6011,0.141
63,1.05,synthetic_run_001,orientation,,False,0.15,0,monitoring,0,0,0,0,0,81.1294,15.0405,0.5304,0.6566,0.1398,77.5145,15.126,0.558,0.6036,0.0823,86.1349,15.5043,0.4089,0.7387,0.2703,78.9853,12.965,0.5812,0.5411,0.1386,77.712,12.7682,0.5375,0.6003,0.1023
64,1.0667,synthetic_run_001,orientation,,False,0.15,0,monitoring,2,1,0,0,0,83.0286,14.5929,0.4441,0.733,0.1535,79.7791,12.919,0.4628,0.7652,0.1247,87.5294,17.654,0.4447,0.7695,0.2302,79.6362,13.6057,0.5606,0.6805,0.1821,78.541,16.728,0.5387,0.5616,0.0967
65,1.0833,synthetic_run_001,orientation,,False,0.15,0,monitoring,0,1,0,0,0,82.5437,16.3655,0.4577,0.8281,0.1927,81.3181,15.5934,0.5554,0.6554,0.1768,88.391,18.5575,0.4255,0.7672,0.2749,72.2565,15.2834,0.4673,0.7002,0.1305,73.0845,14.8786,0.5638,0.5625,0.1162
66,1.1,synthetic_run_001,orientation,,False,0.15,0,monitoring,1,0,0,0,3,85.3567,17.2536,0.4608,0.5887,0.1826,79.112,14.8166,0.5676,0.697,0.1846,87.9346,15.8219,0.3585,0.751,0.2282,80.954,14.0716,0.5327,0.6408,0.2486,79.2027,14.4558,0.5116,0.6393,0.057
67,1.1167,synthetic_run_001,orientation,,False,0.15,0,monitoring,2,0,0,0,0,82.7197,14.1186,0.4777,0.6661,0.2101,81.2387,14.1437,0.4969,0.693,0.1213,89.9708,16.734,0.3664,0.7844,0.129,74.9484,14.5165,0.5386,0.5733,0.1514,77.1186,14.112,0.5347,0.4932,0.1265
68,1.1333,synthetic_run_001,orientation,,False,0.15,0,monitoring,0,0,3,0,4,81.5177,17.3305,0.4154,0.6255,0.2475,78.1094,15.863,0.4336,0.5403,0.138,87.9621,17.773,0.4862,0.7074,0.2112,79.7607,14.0553,0.5486,0.5974,0.0741,74.3372,14.8911,0.5698,0.5802,0.1315
69,1.15,synthetic_run_001,orientation,,False,0.15,0,monitoring,2,0,0,0,0,85.3026,18.1529,0.4468,0.6805,0.2464,78.613,15.8029,0.486,0.6274,0.1565,83.4468,15.2367,0.3909,0.6632,0.2043,75.797,14.5176,0.5913,0.6517,0.1228,77.221,15.1373,0.5332,0.5942,0.0104
70,1.1667,synthetic_run_001,orientation,,False,0.15,0,monitoring,2,0,0,0,0,87.4964,15.365,0.4676,0.7059,0.203,81.3655,16.4722,0.5149,0.7009,0.1169,89.8995,18.5385,0.4307,0.6104,0.1846,78.0476,15.6769,0.562,0.6851,0.168,78.4916,14.4243,0.5439,0.6944,0.1228
71,1.1833,synthetic_run_001,orientation,,False,0.15,0,monitoring,3,0,0,0,0,82.4497,16.1748,0.5028,0.7453,0.1064,79.0296,13.9296,0.5813,0.6929,0.1485,86.3076,17.6886,0.454,0.7567,0.2193,75.5861,14.1777,0.4882,0.6489,0.1536,75.7948,15.3,0.5634,0.5628,0.0964
72,1.2,synthetic_run_001,orientation,,False,0.15,0,monitoring,0,0,0,0,0,79.806,15.9834,0.4598,0.5869,0.2115,81.347,16.518,0.5672,0.6735,0.1543,89.9939,16.0168,0.442,0.7684,0.1215,78.9079,16.0487,0.5514,0.6076,0.1411,79.2859,15.7679,0.5303,0.6501,0.1077
73,1.2167,synthetic_run_001,orientation,,False,0.15,0,monitoring,0,0,3,0,0,83.682,17.1981,0.4858,0.7495,0.1503,81.0686,14.0835,0.4862,0.7263,0.1663,86.5437,17.9951,0.4094,0.7543,0.2709,77.0677,15.5317,0.4984,0.5119,0.1632,72.415,14.1268,0.5647,0.6478,0.0734
74,1.2333,synthetic_run_001,orientation,,False,0.15,0,monitoring,0,0,0,0,0,86.8822,16.2392,0.4557,0.7027,0.2597,79.4066,15.4421,0.4805,0.6487,0.1523,89.0129,17.7359,0.4235,0.7292,0.2452,77.3066,14.0945,0.5115,0.6988,0.1142,77.1407,16.5841,0.528,0.4781,0.1763
75,1.25,synthetic_run_001,orientation,,False,0.15,0,monitoring,0,1,3,0,0,84.09,15.3096,0.4687,0.739,0.1416,76.3566,15.032,0.5117,0.628,0.1384,89.2603,18.0148,0.3962,0.7711,0.2,78.6191,13.4513,0.5609,0.686,0.1109,73.2318,14.7829,0.5035,0.5776,0.1763
76,1.2667,synthetic_run_001,orientation,,False,0.15,0,monitoring,2,0,0,1,2,83.3607,15.7774,0.509,0.7653,0.2328,77.6036,16.0558,0.4761,0.7021,0.2113,88.3807,14.4808,0.4456,0.7352,0.2095,77.3355,13.9578,0.5326,0.6161,0.1277,74.1107,14.8106,0.5951,0.4839,0.137
77,1.2833,synthetic_run_001,orientation,,False,0.15,0,monitoring,0,0,3,0,0,83.127,17.543,0.4307,0.6418,0.1269,79.4436,15.0478,0.4819,0.6379,0.2749,89.1647,16.2008,0.3503,0.8032,0.27,77.1331,15.4698,0.5587,0.5884,0.041,73.8653,15.181,0.5766,0.637,0.1556
78,1.3,synthetic_run_001,orientation,,False,0.15,0,monitoring,0,0,3,0,0,85.4561,15.6364,0.4507,0.6027,0.2796,81.629,15.8314,0.5064,0.6422,0.1306,86.7196,17.2384,0.3771,0.8323,0.1789,78.3465,14.9456,0.5454,0.6086,0.0932,76.2612,14.0414,0.5469,0.658,0.1458
79,1.3167,synthetic_run_001,orientation,,False,0.15,0,monitoring,0,1,0,0,0,82.0842,15.8623,0.5089,0.7645,0.1429,83.2975,13.8375,0.5172,0.5694,0.1203,86.3256,16.7758,0.4163,0.6543,0.251,74.1104,15.1091,0.5687,0.5501,0.1225,80.7339,13.3385,0.6523,0.5371,0.161
